,FIPS,state,county,tract,pop_90,hh_90,white_90,total_25_col_9th_90,total_25_col_12th_90,total_25_col_hs_90,total_25_col_sc_90,total_25_col_ad_90,total_25_col_bd_90,total_25_col_gd_90,I_5000_90,I_10000_90,I_12500_90,I_15000_90,I_17500_90,I_20000_90,I_22500_90,I_25000_90,I_27500_90,I_30000_90,I_32500_90,I_35000_90,I_37500_90,I_40000_90,I_42500_90,I_45000_90,I_47500_90,I_50000_90,I_55000_90,I_60000_90,I_75000_90,I_100000_90,I_125000_90,I_150000_90,I_150001_90,hinc_90,ohu_90,rhu_90,mrent_90,mhval_90
5432,06053013400,06,053,13400,1661,692,1661,1260,31,115,302,304,170,230,692,11,23,25,15,16,9,31,24,26,12,37,21,34,27,27,26,38,13,48,43,85,69,14,9,43269,696,558,957,220800
5433,06053013500,06,053,13500,5103,1726,5103,3318,294,424,871,827,301,408,1726,60,123,76,28,73,48,54,65,100,99,60,57,41,58,91,78,56,52,123,45,180,100,42,17,36220,1726,986,651,157200
5434,06053013600,06,053,13600,3874,1384,3874,2338,252,426,635,639,218,114,1384,51,90,103,47,96,32,103,92,58,49,63,17,68,65,62,43,63,44,57,27,118,36,0,0,28520,1385,629,629,166600
5435,06053013700,06,053,13700,4057,1297,4057,2189,536,474,554,399,99,94,1297,56,154,105,87,132,64,85,86,60,35,55,24,64,50,22,5,41,36,23,25,83,5,0,0,21485,1305,438,627,112300
5436,06053013800,06,053,13800,5637,1605,5637,3368,430,570,794,794,388,249,1605,85,122,46,22,41,65,83,83,53,80,65,68,48,95,68,27,46,44,125,91,158,58,20,0,34614,1644,1096,737,141300
5437,06053013900,06,053,13900,2553,949,2553,1699,169,146,406,504,210,185,949,9,49,48,32,55,48,36,50,57,27,73,42,54,26,78,39,28,19,49,22,56,35,17,0,32175,913,614,609,162300
5438,06053014000,06,053,14000,2312,816,2312,1420,157,226,456,369,72,96,816,34,52,54,65,68,53,42,58,30,44,48,18,42,6,16,9,43,9,43,36,35,11,0,0,24224,852,274,664,126600
5439,06053014100,06,053,14100,28593,6103,28593,11157,142,566,3415,3998,1172,1314,6103,109,123,405,511,760,515,543,366,534,288,408,279,240,134,238,116,152,110,124,53,63,25,7,0,23084,6077,44,558,72000
5440,06053014200,06,053,14200,9865,3373,9865,5899,565,763,1850,1340,614,610,3373,133,229,247,201,142,151,225,97,122,112,184,164,79,138,115,107,68,55,306,121,242,97,31,7,30374,3344,1543,664,163600
5441,06053014301,06,053,14301,3570,1297,3570,2155,57,157,401,688,168,431,1297,5,37,54,54,32,46,62,43,64,32,64,37,116,42,60,35,44,41,77,73,127,122,30,0,37649,1278,556,684,194000
5442,06053014302,06,053,14302,3562,1288,3562,2239,163,257,542,602,224,293,1288,31,37,59,36,80,33,75,47,55,71,64,52,83,43,93,29,18,45,93,57,116,44,22,0,35120,1298,621,683,173300
5443,06053014498,06,053,14498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5444,06053014598,06,053,14598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
