,pop_00,white_00,hu_00,ohu_00,rhu_00,state,county,tract,FIPS,total_25_00,male_25_col_bd_00,male_25_col_md_00,male_25_col_psd_00,male_25_col_phd_00,female_25_col_bd_00,female_25_col_md_00,female_25_col_psd_00,female_25_col_phd_00,mhval_00,mrent_00,hh_00,hinc_00,I_10000_00,I_15000_00,I_20000_00,I_25000_00,I_30000_00,I_35000_00,I_40000_00,I_45000_00,I_50000_00,I_60000_00,I_75000_00,I_100000_00,I_125000_00,I_150000_00,I_200000_00,I_201000_00
50,5281,3861,2607,620,1987,53,033,005200,53033005200,2824,529,352,75,61,542,159,82,79,288700,777,2609,37816,326,249,218,131,129,131,193,165,121,212,253,211,98,68,86,18
51,8509,5925,2346,97,2249,53,033,005301,53033005301,1929,330,203,36,37,318,95,64,34,139900,625,2344,17437,790,266,229,218,204,120,141,67,45,55,86,65,0,37,0,21
52,2528,1413,222,8,214,53,033,005302,53033005302,446,140,98,6,6,47,36,8,0,0,656,259,31607,68,13,16,20,8,13,17,0,15,19,50,15,5,0,0,0
53,4241,3689,2259,857,1402,53,033,005400,53033005400,3405,673,277,100,142,768,247,76,71,271600,745,2258,49451,124,128,117,134,111,143,146,97,147,228,288,225,124,97,84,65
54,6229,5627,2687,2463,224,53,033,005600,53033005600,4812,738,400,340,110,1017,333,150,41,461900,1338,2700,87578,52,32,41,68,66,85,119,109,102,220,207,466,311,210,273,339
55,5990,5059,2711,1804,907,53,033,005700,53033005700,4491,851,208,87,24,776,197,106,10,287600,769,2711,60410,124,125,73,128,153,154,186,104,123,165,375,422,243,99,111,126
56,4543,3727,2475,966,1509,53,033,005801,53033005801,3545,560,210,21,29,642,224,48,6,229800,859,2470,48906,138,101,70,106,178,171,179,162,158,316,297,294,153,65,49,33
57,4817,3948,2417,947,1470,53,033,005802,53033005802,3767,713,178,79,45,644,236,49,15,292400,757,2424,47021,100,135,104,95,145,218,145,232,89,243,173,361,200,54,65,65
58,6715,5900,2543,1446,1097,53,033,005900,53033005900,3921,775,355,140,70,754,323,98,23,357800,745,2548,59070,87,135,90,141,151,121,52,156,145,228,254,323,345,104,107,109
59,4725,4131,2445,1244,1201,53,033,006000,53033006000,3729,687,133,63,106,753,244,109,63,346700,881,2445,59127,105,88,98,119,129,183,119,74,131,202,315,316,187,116,114,149
60,4447,3839,2602,1055,1547,53,033,006100,53033006100,3741,791,400,177,78,750,353,172,63,394200,741,2595,53995,162,157,86,140,139,99,131,104,153,299,319,318,129,79,85,195
61,3800,3309,1542,1267,275,53,033,006200,53033006200,2855,590,234,162,107,604,311,139,44,446600,1049,1537,101319,56,32,40,25,27,37,24,40,21,85,122,244,226,141,162,255
