,FIPS,state,county,tract,pop_90,hh_90,white_90,total_25_col_9th_90,total_25_col_12th_90,total_25_col_hs_90,total_25_col_sc_90,total_25_col_ad_90,total_25_col_bd_90,total_25_col_gd_90,I_5000_90,I_10000_90,I_12500_90,I_15000_90,I_17500_90,I_20000_90,I_22500_90,I_25000_90,I_27500_90,I_30000_90,I_32500_90,I_35000_90,I_37500_90,I_40000_90,I_42500_90,I_45000_90,I_47500_90,I_50000_90,I_55000_90,I_60000_90,I_75000_90,I_100000_90,I_125000_90,I_150000_90,I_150001_90,hinc_90,ohu_90,rhu_90,mrent_90,mhval_90
6099,06065044200,06,065,44200,5325,1553,5325,2802,672,824,629,337,124,130,1553,168,227,104,94,115,102,86,63,70,20,83,30,36,34,36,31,36,26,77,17,69,23,6,0,19179,1564,781,464,64500
6100,06065044300,06,065,44300,3599,907,3599,1966,365,516,413,412,179,39,907,63,179,28,33,33,18,42,23,46,66,50,34,50,21,47,20,0,5,39,20,39,20,0,26,26875,912,440,544,77000
6101,06065044401,06,065,44401,3347,1385,3347,2342,43,189,742,579,121,455,1385,0,83,92,65,62,63,85,87,50,40,91,61,84,41,13,36,41,12,50,48,109,123,13,0,31799,1396,1037,628,147400
6102,06065044402,06,065,44402,3733,1468,3733,2688,100,400,926,722,136,221,1468,75,115,118,69,84,69,106,44,36,71,64,35,36,49,65,36,34,31,76,46,94,47,29,10,28134,1484,1087,531,151400
6103,06065044403,06,065,44403,2434,1055,2434,1806,107,279,796,421,56,84,1055,50,172,64,68,60,32,67,54,55,75,50,21,43,36,28,8,0,5,47,1,67,46,4,2,23171,1026,821,511,151100
6104,06065044501,06,065,44501,9100,4010,9100,6850,599,1398,1904,1754,390,481,4010,168,546,416,155,262,278,216,248,266,165,134,158,134,93,103,137,75,19,119,59,131,93,14,10,22083,4038,3373,494,73500
6105,06065044502,06,065,44502,15195,6256,15195,9794,679,2115,2951,2473,678,509,6256,425,974,446,392,416,303,330,182,276,247,292,193,267,152,170,99,190,107,161,148,262,163,16,19,21303,6194,3446,497,79500
6106,06065044600,06,065,44600,15996,6650,15996,11025,940,1791,2246,3066,767,1441,6650,263,741,269,247,335,363,333,273,336,233,261,193,168,176,178,170,137,120,313,186,446,396,197,98,29270,6534,4221,562,121600
6107,06065044700,06,065,44700,9190,3928,9190,6413,907,1181,1625,1387,441,491,3928,252,593,322,214,214,154,203,167,175,130,184,103,128,126,87,96,77,54,110,81,185,116,72,29,22680,3875,1362,539,117200
6108,06065044802,06,065,44802,11694,5531,11694,8904,774,1188,2170,2349,548,1314,5531,310,360,338,295,246,290,330,176,298,194,273,161,171,92,163,95,195,117,209,134,427,316,142,65,29079,5520,3162,576,138000
6109,06065044803,06,065,44803,5406,3051,5406,4837,266,567,1374,1320,204,707,3051,149,363,195,123,174,178,113,97,174,81,88,64,25,76,60,40,61,36,124,78,276,164,87,75,26918,3070,2350,632,224900
6110,06065044901,06,065,44901,18919,7012,18919,12014,1322,1935,3396,2928,784,1117,7012,421,727,279,266,271,272,356,257,322,295,296,218,281,155,275,135,185,136,393,186,607,366,167,60,30338,7041,4219,699,124800
6111,06065044902,06,065,44902,10935,4886,10935,8907,367,1039,2143,2749,592,1165,4886,163,190,156,194,94,144,148,158,191,103,178,141,210,149,171,120,96,92,204,195,412,337,383,116,43604,4939,4138,711,218500
6112,06065044903,06,065,44903,14723,7220,14723,12236,276,1306,3149,3912,842,1752,7220,253,347,257,224,305,264,284,280,319,304,345,259,289,141,346,211,220,176,385,297,597,486,250,125,36462,7216,5419,711,166700
6113,06065045000,06,065,45000,5221,1860,5221,3290,673,467,828,738,147,289,1860,102,228,97,113,46,17,110,49,132,38,86,43,26,58,66,40,26,43,100,86,171,138,33,0,29868,1895,1147,447,109400
6114,06065045102,06,065,45102,16969,7449,16969,12305,634,1231,2656,3978,984,1883,7449,211,386,282,274,291,338,351,221,366,151,237,273,330,155,235,211,246,216,276,253,667,603,276,112,37718,7492,4590,678,161500
6115,06065045103,06,065,45103,3413,1819,3413,2854,143,312,671,933,196,430,1819,97,104,138,87,81,112,145,43,130,36,56,115,41,11,21,35,28,32,66,27,101,166,55,0,26971,1817,1186,603,213100
6116,06065045104,06,065,45104,13392,5038,13392,8777,430,817,2025,2697,708,1479,5038,165,205,183,172,216,116,153,123,148,137,271,209,153,175,177,103,153,164,253,201,505,359,193,117,41314,5033,3783,757,147500
6117,06065045201,06,065,45201,12081,4827,12081,8133,662,866,1971,2021,571,1588,4827,159,284,180,124,220,132,140,200,256,180,273,102,211,132,178,144,170,100,370,160,384,393,166,46,36937,4778,3173,640,144300
6118,06065045202,06,065,45202,10155,3363,10155,5778,1069,848,1213,1326,412,533,3363,127,348,193,123,183,131,123,63,201,101,240,102,110,136,20,62,94,105,137,126,362,151,64,20,30922,3435,1753,551,95300
6119,06065045300,06,065,45300,8836,2250,8836,4500,1532,960,1121,503,274,82,2250,105,180,118,40,175,82,163,120,178,152,147,112,104,94,57,52,25,31,72,82,110,33,18,0,26994,2241,1431,473,68900
6120,06065045400,06,065,45400,7145,1606,7145,3256,1810,616,465,243,41,32,1606,94,240,129,91,175,135,77,80,96,56,73,30,47,30,23,34,27,11,31,32,30,61,0,4,18870,1662,505,328,70000
6121,06065045500,06,065,45500,8811,2410,8811,4540,1548,851,836,822,216,146,2410,133,371,186,212,125,143,145,106,89,71,56,28,107,49,107,50,68,30,90,89,93,36,0,0,20603,2431,923,436,84900
6122,06065045601,06,065,45601,7490,1933,7490,4009,1668,644,684,480,197,245,1933,126,184,105,113,112,101,102,69,98,69,63,42,63,60,48,37,21,23,77,52,110,65,49,12,26390,1965,1220,334,118300
6123,06065045602,06,065,45602,9628,2296,9628,4688,2854,766,608,212,114,85,2296,146,347,214,178,198,171,201,109,115,68,100,52,47,42,57,27,24,28,28,19,57,31,13,0,18450,2280,964,281,66500
6124,06065045701,06,065,45701,10805,2352,10805,4994,2652,1250,611,310,117,47,2352,110,223,151,210,110,126,224,248,223,83,121,61,54,57,56,19,30,13,47,30,103,38,6,9,22722,2344,1297,354,66300
6125,06065045702,06,065,45702,5761,1199,5761,2691,1412,533,316,230,120,47,1199,37,113,69,40,66,101,99,69,49,30,97,60,66,36,39,43,21,17,31,26,76,14,0,0,25281,1320,848,401,74000
6126,06065045800,06,065,45800,4579,592,4579,3028,552,906,583,796,73,91,592,3,84,61,41,50,41,31,36,18,0,63,13,34,6,28,8,8,0,24,0,19,24,0,0,21290,664,343,481,68900
6127,06065045900,06,065,45900,1801,573,1801,1073,451,205,127,132,18,107,573,58,47,24,72,62,24,40,42,27,18,21,7,20,0,0,24,0,0,8,17,12,35,0,7,19948,565,255,263,52400
6128,06065046000,06,065,46000,1589,585,1589,1089,182,226,292,210,41,69,585,20,64,60,38,60,25,29,15,34,22,22,23,7,7,6,7,16,7,51,26,21,9,0,7,22198,655,406,459,56500
6129,06065046100,06,065,46100,9200,3039,9200,5242,1123,929,1281,1017,371,349,3039,199,355,194,151,239,98,167,155,116,64,107,107,74,134,101,53,102,64,79,58,217,144,0,8,24379,2984,1472,411,69100
6130,06065046200,06,065,46200,1182,441,1182,651,180,129,192,104,23,15,441,42,130,14,10,49,15,46,20,0,28,8,7,0,0,11,7,0,10,11,9,15,0,9,0,16250,420,225,294,58500
6131,06065046398,06,065,46398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
