,FIPS,state,county,tract,pop_90,hh_90,white_90,total_25_col_9th_90,total_25_col_12th_90,total_25_col_hs_90,total_25_col_sc_90,total_25_col_ad_90,total_25_col_bd_90,total_25_col_gd_90,I_5000_90,I_10000_90,I_12500_90,I_15000_90,I_17500_90,I_20000_90,I_22500_90,I_25000_90,I_27500_90,I_30000_90,I_32500_90,I_35000_90,I_37500_90,I_40000_90,I_42500_90,I_45000_90,I_47500_90,I_50000_90,I_55000_90,I_60000_90,I_75000_90,I_100000_90,I_125000_90,I_150000_90,I_150001_90,hinc_90,ohu_90,rhu_90,mrent_90,mhval_90
6369,06071001000,06,071,1000,8846,2854,8846,4819,603,992,1379,1011,389,339,2854,96,265,127,166,172,99,150,135,136,83,144,75,125,98,174,93,75,64,106,94,200,139,9,10,29940,2872,1308,591,129900
6370,06071001100,06,071,1100,10191,3936,10191,6678,480,979,1836,1815,629,715,3936,175,344,171,156,228,182,191,139,128,141,150,138,155,106,78,121,155,152,275,159,282,189,48,40,31883,3883,2419,545,140600
6371,06071001200,06,071,1200,3975,1512,3975,2656,132,286,729,725,354,320,1512,15,101,79,32,41,74,39,74,64,86,93,35,54,49,77,25,56,47,106,43,209,77,23,5,36065,1498,1152,626,133700
6372,06071001301,06,071,1301,8823,2506,8823,4928,796,1033,1394,1116,255,247,2506,65,201,88,87,67,73,115,123,106,120,164,144,107,100,136,95,124,98,115,113,136,109,8,0,33264,2519,1569,721,115500
6373,06071001302,06,071,1302,17866,5102,17866,9651,1264,1827,2536,2270,715,804,5102,99,368,179,101,146,111,214,201,194,160,290,172,204,145,229,190,201,163,295,373,645,223,124,33,39431,5135,3220,618,135900
6374,06071001400,06,071,1400,2089,977,2089,1432,237,326,314,287,140,59,977,59,276,72,51,43,48,61,23,59,33,69,26,28,8,11,8,9,19,11,19,10,11,7,0,16773,977,209,465,120200
6375,06071001500,06,071,1500,10849,2999,10849,5183,1454,1065,1250,816,210,277,2999,113,424,98,83,211,138,225,204,125,131,119,103,126,90,129,41,143,94,114,49,165,57,17,0,25070,2973,940,595,114100
6376,06071001600,06,071,1600,7018,1722,7018,3362,1516,888,494,336,54,45,1722,109,230,100,152,118,119,106,80,48,83,106,27,69,35,78,47,34,26,43,9,43,43,5,0,20778,1703,648,508,89400
6377,06071001701,06,071,1701,14946,4330,14946,8059,979,1435,2060,2121,620,592,4330,140,198,110,116,198,107,156,172,210,153,227,137,218,186,242,161,170,164,242,217,424,324,39,0,37809,4359,2628,719,146300
6378,06071001702,06,071,1702,4098,1450,4098,2392,226,279,698,564,295,229,1450,51,80,14,41,64,48,52,71,97,48,52,41,50,32,106,38,44,31,105,86,150,120,19,0,38750,1410,791,721,173400
6379,06071001703,06,071,1703,5495,1746,5495,3263,101,391,906,1008,328,417,1746,16,61,18,32,45,48,13,14,47,27,64,31,71,27,80,43,83,36,103,112,295,305,120,15,55567,1726,1513,818,188500
6380,06071001801,06,071,1801,11658,2920,11658,5968,1823,1234,1391,866,332,264,2920,165,278,175,57,234,93,117,65,170,124,138,141,98,76,78,102,65,40,234,55,216,142,49,8,29637,2923,1628,581,127800
6381,06071001802,06,071,1802,16674,4563,16674,8709,568,1070,2440,2496,851,897,4563,41,99,47,31,18,121,146,146,139,85,145,124,237,211,263,134,182,219,423,335,615,595,117,20,48784,4560,3656,774,170400
6382,06071001803,06,071,1803,2792,980,2792,1856,203,401,623,443,100,73,980,35,32,22,65,40,56,43,39,50,60,95,25,44,41,6,36,18,10,50,26,114,65,8,0,31263,947,729,651,143400
6383,06071001900,06,071,1900,11034,2711,11034,6903,688,1158,1829,1950,555,489,2711,48,148,76,37,57,29,56,75,170,74,189,57,87,128,154,62,58,80,191,134,414,288,62,8,42021,2596,1345,687,207800
6384,06071002001,06,071,2001,24796,7673,24796,14392,447,1044,3416,4065,1768,2472,7673,164,79,66,53,85,130,136,87,211,104,366,188,265,205,431,208,455,214,733,503,1565,895,359,68,52478,7706,6438,850,195500
6385,06071002002,06,071,2002,9318,2701,9318,5321,77,425,975,1551,764,988,2701,36,19,24,43,31,61,47,19,36,20,58,21,69,36,99,49,113,112,220,163,451,515,208,117,61919,2722,2450,829,296800
6386,06071002003,06,071,2003,13032,4059,13032,7790,178,458,1616,2411,994,1302,4059,68,94,47,75,62,81,90,28,98,78,99,67,102,94,81,135,86,92,250,287,685,728,304,151,60250,4078,3511,596,272900
6387,06071002004,06,071,2004,8262,2510,8262,4874,235,478,1486,1513,420,505,2510,24,119,49,27,57,37,78,90,69,85,110,41,112,87,141,81,95,99,236,141,403,241,44,13,46263,2502,1905,874,160800
6388,06071002005,06,071,2005,19519,6809,19519,11676,516,1308,2970,3500,1318,1523,6809,155,336,163,132,177,227,230,223,286,161,308,188,248,257,268,267,285,182,545,387,942,561,166,85,42926,6781,4657,731,162300
6389,06071002006,06,071,2006,6443,2362,6443,3742,156,220,849,1253,398,619,2362,13,34,54,36,68,92,146,33,80,110,106,68,115,96,161,97,150,59,135,133,253,244,38,0,42019,2329,1241,686,179700
