,pop_00,white_00,hu_00,ohu_00,rhu_00,state,county,tract,FIPS,total_25_00,male_25_col_bd_00,male_25_col_md_00,male_25_col_psd_00,male_25_col_phd_00,female_25_col_bd_00,female_25_col_md_00,female_25_col_psd_00,female_25_col_phd_00,mhval_00,mrent_00,hh_00,hinc_00,I_10000_00,I_15000_00,I_20000_00,I_25000_00,I_30000_00,I_35000_00,I_40000_00,I_45000_00,I_50000_00,I_60000_00,I_75000_00,I_100000_00,I_125000_00,I_150000_00,I_200000_00,I_201000_00
654,2911,2801,1033,926,107,39,093,091100,39093091100,1964,58,45,28,0,92,32,8,0,145000,731,1050,54803,12,27,27,83,55,55,60,94,70,97,127,173,82,20,29,39
655,4607,3395,939,855,84,39,093,091200,39093091200,3293,105,61,30,0,59,23,0,0,103100,631,949,52462,48,24,40,55,60,25,48,91,51,126,156,105,87,8,10,15
656,2383,2300,849,763,86,39,093,092100,39093092100,1609,97,48,13,7,78,33,27,0,165500,695,855,54816,31,4,19,28,59,47,64,66,41,124,158,136,32,22,8,16
657,2991,2896,1093,986,107,39,093,093100,39093093100,2064,81,49,5,6,101,43,15,0,138900,396,1102,51923,41,54,49,30,41,81,94,79,62,113,161,175,81,18,10,13
658,7683,7528,2585,2303,282,39,093,094100,39093094100,4883,148,76,14,2,221,44,27,0,143900,674,2591,56452,93,111,90,86,119,142,89,157,152,342,477,464,139,49,42,39
659,7134,5879,1793,1570,223,39,093,095100,39093095100,5122,340,58,40,21,198,58,19,0,141100,532,1782,60469,18,84,94,68,94,70,84,96,69,196,287,371,120,60,51,20
660,5904,5703,2207,1571,636,39,093,096100,39093096100,3829,135,44,13,0,232,21,18,7,115600,475,2206,43514,163,124,106,102,153,175,153,193,168,276,215,195,93,29,25,36
661,2976,2912,1006,894,112,39,093,097100,39093097100,1895,58,22,2,4,107,23,14,0,145500,590,1010,52500,24,12,46,59,48,75,67,82,55,123,115,207,56,5,23,13
662,6753,6594,2330,2218,112,39,103,400100,39103400100,4630,300,218,57,28,449,129,25,6,214700,625,2323,70805,59,39,60,81,61,95,55,105,100,205,383,445,260,163,114,98
663,4329,4216,1441,1317,124,39,103,402000,39103402000,3029,175,61,23,9,220,83,19,0,179400,712,1444,62177,42,47,62,90,62,49,62,60,68,153,225,202,153,46,62,61
664,3250,3171,1033,977,56,39,103,403001,39103403001,2043,75,49,18,7,77,73,0,0,155400,840,1051,55881,25,18,49,55,41,76,38,68,63,170,164,158,52,37,30,7
665,2333,2255,794,737,57,39,103,403002,39103403002,1590,97,14,0,7,102,32,19,0,160800,675,787,66688,14,12,25,16,60,26,25,50,30,102,89,147,92,67,7,25
666,3699,3564,1293,1217,76,39,103,404000,39103404000,2549,214,96,62,14,308,49,0,6,182400,761,1292,67383,17,5,30,39,42,51,55,55,55,170,227,198,123,101,63,61
667,3928,3838,1387,1269,118,39,103,405000,39103405000,2615,308,58,63,53,309,111,27,6,228800,850,1395,62756,67,5,23,34,44,74,65,38,105,173,202,197,136,55,73,104
668,4244,4143,1517,1340,177,39,103,406000,39103406000,2864,284,115,114,35,240,74,46,0,213600,730,1509,73277,54,46,13,43,64,55,46,64,46,87,262,288,100,101,99,141
669,2904,2853,959,922,37,39,103,407000,39103407000,1912,205,67,14,21,211,6,20,20,194300,348,965,71098,9,16,17,26,34,16,49,72,65,60,152,214,84,42,69,40
670,7697,7393,3034,2077,957,39,103,408000,39103408000,5364,641,254,94,11,705,149,99,9,158700,724,3012,56221,55,100,136,174,211,167,125,162,123,392,330,437,272,115,124,89
671,6341,5679,2629,1466,1163,39,103,408100,39103408100,4108,379,101,9,13,344,64,45,0,142600,523,2632,39817,323,259,175,185,149,116,112,142,64,226,211,462,131,70,0,7
672,8155,7664,2888,2205,683,39,103,408200,39103408200,4997,560,151,58,14,571,124,17,0,138000,600,2904,49128,109,149,141,145,218,218,218,199,70,372,331,388,210,57,47,32
673,3354,3228,1143,854,289,39,103,408301,39103408301,2075,352,146,85,8,386,91,12,16,167900,788,1152,69438,0,16,0,38,54,51,51,52,59,133,176,235,132,39,45,71
674,7572,7336,2630,2106,524,39,103,408302,39103408302,4624,736,207,60,0,681,233,17,6,143500,661,2647,62074,54,54,37,99,147,116,109,188,84,360,416,469,308,123,39,44
675,2162,2104,740,694,46,39,103,409001,39103409001,1459,84,26,6,0,59,28,0,0,167400,675,718,55000,12,15,18,47,41,27,39,39,65,70,126,152,31,12,18,6
676,4665,4558,1677,1479,198,39,103,409002,39103409002,3082,177,29,16,1,129,52,21,0,134700,608,1597,51755,75,52,48,68,112,101,96,97,113,123,206,282,156,57,10,1
677,3890,3801,1232,1048,184,39,103,410000,39103410000,2296,104,17,11,0,109,21,10,0,136100,529,1241,45725,89,79,58,57,62,110,74,77,94,135,148,174,63,8,12,1
678,1721,1701,610,558,52,39,103,411001,39103411001,1201,68,13,8,0,86,8,8,0,144500,453,694,45119,8,24,34,95,38,52,66,29,52,87,90,72,33,6,0,8
679,3189,3128,1321,881,440,39,103,411002,39103411002,2122,54,7,9,0,61,11,0,0,91500,476,1314,32989,95,129,159,88,109,114,86,51,54,157,128,101,19,9,11,4
680,4172,4099,1492,1335,157,39,103,412000,39103412000,2803,302,75,23,22,235,59,10,10,153800,725,1482,57174,22,60,44,55,31,77,108,79,107,218,199,211,151,50,33,37
681,5447,5344,1954,1651,303,39,103,413000,39103413000,3617,209,62,32,21,209,36,18,0,133700,608,1973,50598,48,69,100,121,90,129,147,132,134,236,287,213,132,65,23,47
682,3691,3561,1181,1143,38,39,103,415100,39103415100,2323,352,58,34,0,210,48,19,0,162000,850,1185,69148,26,6,27,17,32,32,53,25,47,122,304,263,146,57,12,16
683,3869,3777,1357,1242,115,39,103,415200,39103415200,2575,240,41,24,7,189,30,21,0,137300,732,1345,62051,35,23,20,78,53,53,90,59,35,174,254,295,85,48,16,27
