,pop_90,white_90,hh_90,total_25_col_9th_90,total_25_col_12th_90,total_25_col_hs_90,total_25_col_sc_90,total_25_col_ad_90,total_25_col_bd_90,total_25_col_gd_90,mhval_90,mrent_90,hinc_90,ohu_90,rhu_90,I_5000_90,I_10000_90,I_12500_90,I_15000_90,I_17500_90,I_20000_90,I_22500_90,I_25000_90,I_27500_90,I_30000_90,I_32500_90,I_35000_90,I_37500_90,I_40000_90,I_42500_90,I_45000_90,I_47500_90,I_50000_90,I_55000_90,I_60000_90,I_75000_90,I_100000_90,I_125000_90,I_150000_90,I_150001_90,state,county,tract,FIPS
1544,3489.0,3436.0,1662.0,130.0,292.0,837.0,785.0,95.0,358.0,267.0,64900.0,459.0,29846.0,1301.0,367.0,96.0,134.0,54.0,56.0,47.0,77.0,60.0,115.0,85.0,114.0,113.0,78.0,43.0,76.0,64.0,49.0,32.0,31.0,111.0,42.0,122.0,45.0,9.0,0.0,9.0,47,157,009400,47157009400
1545,6975.0,6625.0,3006.0,213.0,529.0,1269.0,1480.0,113.0,1123.0,634.0,75100.0,563.0,35664.0,2516.0,549.0,63.0,205.0,140.0,98.0,84.0,115.0,119.0,100.0,133.0,93.0,181.0,138.0,128.0,73.0,98.0,120.0,96.0,67.0,177.0,140.0,295.0,170.0,118.0,0.0,55.0,47,157,009500,47157009500
1546,5026.0,4867.0,2012.0,29.0,147.0,477.0,972.0,200.0,1072.0,778.0,150200.0,597.0,60597.0,1708.0,264.0,34.0,57.0,93.0,28.0,52.0,56.0,35.0,84.0,52.0,19.0,32.0,39.0,55.0,62.0,68.0,7.0,53.0,23.0,78.0,68.0,221.0,237.0,202.0,110.0,247.0,47,157,009600,47157009600
1547,2533.0,2384.0,1093.0,113.0,338.0,634.0,395.0,71.0,141.0,72.0,58900.0,426.0,33523.0,802.0,238.0,38.0,21.0,45.0,55.0,38.0,51.0,53.0,62.0,56.0,68.0,37.0,55.0,60.0,70.0,72.0,54.0,24.0,21.0,93.0,10.0,63.0,34.0,13.0,0.0,0.0,47,157,009700,47157009700
1548,3061.0,2973.0,1267.0,125.0,376.0,958.0,427.0,110.0,148.0,48.0,53300.0,462.0,28449.0,971.0,317.0,41.0,88.0,84.0,55.0,63.0,56.0,63.0,64.0,88.0,83.0,49.0,57.0,48.0,36.0,73.0,39.0,49.0,45.0,33.0,31.0,60.0,41.0,7.0,7.0,7.0,47,157,009800,47157009800
1549,8014.0,5448.0,3090.0,506.0,1414.0,1898.0,711.0,168.0,140.0,101.0,39100.0,351.0,20307.0,1784.0,1268.0,312.0,377.0,218.0,258.0,169.0,184.0,220.0,162.0,181.0,140.0,135.0,75.0,156.0,51.0,88.0,38.0,46.0,45.0,121.0,25.0,73.0,16.0,0.0,0.0,0.0,47,157,009900,47157009900
1550,6906.0,3617.0,2425.0,355.0,753.0,1465.0,1053.0,150.0,219.0,116.0,48200.0,384.0,26454.0,1815.0,553.0,125.0,179.0,155.0,121.0,172.0,126.0,180.0,94.0,104.0,59.0,202.0,96.0,81.0,53.0,131.0,77.0,89.0,35.0,157.0,70.0,81.0,8.0,9.0,21.0,0.0,47,157,010000,47157010000
1551,7590.0,3947.0,2826.0,409.0,1037.0,1505.0,927.0,174.0,242.0,103.0,44600.0,358.0,18871.0,1535.0,1253.0,450.0,309.0,229.0,164.0,165.0,175.0,84.0,156.0,136.0,80.0,113.0,60.0,116.0,91.0,59.0,49.0,107.0,45.0,101.0,57.0,48.0,20.0,12.0,0.0,0.0,47,157,010110,47157010110
1552,6201.0,3415.0,2222.0,393.0,799.0,1437.0,619.0,150.0,195.0,44.0,43200.0,340.0,21019.0,1292.0,997.0,163.0,239.0,163.0,110.0,219.0,164.0,130.0,105.0,168.0,100.0,156.0,98.0,73.0,34.0,61.0,33.0,30.0,16.0,68.0,29.0,43.0,20.0,0.0,0.0,0.0,47,157,010120,47157010120
1553,6247.0,2656.0,2031.0,330.0,606.0,1366.0,722.0,224.0,145.0,79.0,45200.0,430.0,23425.0,1452.0,593.0,112.0,144.0,227.0,94.0,141.0,62.0,197.0,104.0,98.0,51.0,164.0,50.0,90.0,68.0,42.0,78.0,31.0,61.0,73.0,45.0,65.0,34.0,0.0,0.0,0.0,47,157,010210,47157010210
1554,7672.0,3839.0,2620.0,448.0,700.0,1561.0,1129.0,257.0,441.0,167.0,52300.0,355.0,29780.0,1943.0,694.0,141.0,186.0,97.0,119.0,167.0,104.0,118.0,126.0,117.0,148.0,129.0,144.0,138.0,116.0,105.0,77.0,74.0,102.0,161.0,86.0,95.0,63.0,7.0,0.0,0.0,47,157,010220,47157010220
1555,2203.0,51.0,542.0,234.0,377.0,301.0,96.0,32.0,16.0,0.0,30900.0,347.0,15645.0,374.0,222.0,99.0,50.0,90.0,24.0,31.0,52.0,48.0,25.0,35.0,8.0,29.0,12.0,23.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,7.0,0.0,0.0,0.0,47,157,010300,47157010300
1556,606.0,606.0,415.0,70.0,157.0,186.0,91.0,17.0,31.0,9.0,87500.0,179.0,18352.0,297.0,63.0,37.0,60.0,21.0,49.0,33.0,22.0,31.0,20.0,7.0,14.0,13.0,0.0,28.0,20.0,9.0,0.0,14.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,9.0,47,157,010410,47157010410
1557,396.0,117.0,178.0,18.0,44.0,50.0,60.0,9.0,32.0,0.0,80000.0,410.0,21100.0,33.0,118.0,39.0,18.0,11.0,0.0,0.0,10.0,25.0,8.0,0.0,21.0,14.0,0.0,12.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,47,157,010420,47157010420
1558,4991.0,1013.0,1334.0,320.0,661.0,684.0,405.0,70.0,73.0,11.0,42000.0,360.0,16148.0,258.0,1093.0,230.0,231.0,95.0,49.0,135.0,69.0,83.0,54.0,98.0,35.0,61.0,35.0,46.0,0.0,40.0,24.0,6.0,7.0,11.0,7.0,13.0,5.0,0.0,0.0,0.0,47,157,010500,47157010500
