,pop_90,white_90,hh_90,total_25_col_9th_90,total_25_col_12th_90,total_25_col_hs_90,total_25_col_sc_90,total_25_col_ad_90,total_25_col_bd_90,total_25_col_gd_90,mhval_90,mrent_90,hinc_90,ohu_90,rhu_90,I_5000_90,I_10000_90,I_12500_90,I_15000_90,I_17500_90,I_20000_90,I_22500_90,I_25000_90,I_27500_90,I_30000_90,I_32500_90,I_35000_90,I_37500_90,I_40000_90,I_42500_90,I_45000_90,I_47500_90,I_50000_90,I_55000_90,I_60000_90,I_75000_90,I_100000_90,I_125000_90,I_150000_90,I_150001_90,state,county,tract,FIPS
72,4275.0,3262.0,1745.0,256.0,551.0,1003.0,613.0,104.0,171.0,79.0,66400.0,392.0,24429.0,902.0,874.0,96.0,230.0,107.0,103.0,81.0,69.0,124.0,81.0,61.0,101.0,79.0,72.0,59.0,116.0,88.0,20.0,22.0,40.0,52.0,24.0,94.0,18.0,0.0,0.0,8.0,08,001,009604,08001009604
73,5779.0,4040.0,2245.0,254.0,369.0,1157.0,927.0,282.0,473.0,161.0,84600.0,314.0,31671.0,1315.0,868.0,84.0,153.0,131.0,78.0,101.0,119.0,84.0,119.0,109.0,73.0,107.0,34.0,82.0,92.0,134.0,61.0,112.0,67.0,90.0,105.0,201.0,81.0,18.0,10.0,0.0,08,001,009605,08001009605
74,2194.0,1246.0,858.0,167.0,392.0,358.0,254.0,86.0,36.0,8.0,54600.0,393.0,18981.0,350.0,531.0,122.0,89.0,38.0,78.0,70.0,54.0,63.0,83.0,15.0,36.0,68.0,22.0,11.0,22.0,15.0,13.0,15.0,12.0,15.0,6.0,11.0,0.0,0.0,0.0,0.0,08,001,009606,08001009606
75,5055.0,3226.0,1899.0,287.0,696.0,1068.0,803.0,114.0,167.0,105.0,66800.0,451.0,26410.0,1400.0,541.0,129.0,132.0,110.0,86.0,106.0,88.0,116.0,99.0,148.0,54.0,123.0,87.0,98.0,66.0,74.0,31.0,46.0,27.0,58.0,45.0,98.0,65.0,5.0,0.0,8.0,08,001,009750,08001009750
80,2393.0,1514.0,1610.0,67.0,102.0,427.0,478.0,117.0,355.0,147.0,47500.0,293.0,16355.0,122.0,1523.0,198.0,204.0,202.0,130.0,131.0,115.0,78.0,129.0,85.0,37.0,46.0,18.0,44.0,37.0,27.0,17.0,9.0,20.0,26.0,19.0,17.0,0.0,0.0,21.0,0.0,08,005,004950,08005004950
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,005,004987,08005004987
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,005,004988,08005004988
83,226.0,226.0,116.0,0.0,0.0,49.0,30.0,0.0,79.0,52.0,98500.0,0.0,36667.0,93.0,0.0,0.0,9.0,0.0,0.0,18.0,0.0,9.0,0.0,5.0,0.0,13.0,0.0,6.0,6.0,0.0,7.0,0.0,0.0,7.0,18.0,8.0,10.0,0.0,0.0,0.0,08,005,005350,08005005350
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,005,005388,08005005388
85,747.0,447.0,307.0,50.0,178.0,146.0,63.0,29.0,16.0,17.0,61600.0,553.0,25139.0,144.0,155.0,20.0,26.0,16.0,24.0,6.0,17.0,37.0,6.0,27.0,20.0,19.0,21.0,17.0,6.0,0.0,16.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,7.0,08,005,005403,08005005403
86,1379.0,937.0,594.0,48.0,176.0,364.0,149.0,61.0,20.0,31.0,57600.0,400.0,22500.0,226.0,298.0,80.0,37.0,47.0,10.0,17.0,66.0,40.0,50.0,18.0,24.0,38.0,27.0,28.0,10.0,17.0,0.0,29.0,0.0,7.0,5.0,14.0,11.0,19.0,0.0,0.0,08,005,005551,08005005551
87,2303.0,1757.0,987.0,189.0,316.0,550.0,278.0,96.0,59.0,19.0,57700.0,398.0,18542.0,671.0,388.0,52.0,177.0,76.0,80.0,71.0,90.0,56.0,25.0,56.0,44.0,50.0,33.0,54.0,5.0,24.0,9.0,24.0,23.0,8.0,8.0,4.0,18.0,0.0,0.0,0.0,08,005,005552,08005005552
88,3838.0,3048.0,1399.0,97.0,293.0,836.0,649.0,184.0,246.0,89.0,78900.0,456.0,28980.0,785.0,630.0,59.0,105.0,35.0,66.0,43.0,67.0,92.0,50.0,131.0,87.0,42.0,50.0,59.0,81.0,39.0,49.0,60.0,40.0,45.0,55.0,68.0,76.0,0.0,0.0,0.0,08,005,005553,08005005553
89,3662.0,3501.0,1314.0,22.0,64.0,320.0,582.0,132.0,936.0,439.0,189200.0,718.0,65667.0,1145.0,145.0,11.0,28.0,42.0,9.0,9.0,13.0,27.0,42.0,23.0,17.0,41.0,29.0,46.0,20.0,31.0,18.0,28.0,10.0,58.0,67.0,199.0,211.0,152.0,58.0,125.0,08,005,005608,08005005608
90,6850.0,6392.0,2233.0,28.0,104.0,665.0,872.0,280.0,1476.0,793.0,114600.0,942.0,57374.0,2017.0,192.0,10.0,35.0,38.0,3.0,30.0,4.0,12.0,19.0,46.0,26.0,58.0,74.0,47.0,58.0,62.0,64.0,131.0,67.0,254.0,156.0,447.0,389.0,161.0,20.0,22.0,08,005,005609,08005005609
91,6719.0,6220.0,2590.0,23.0,217.0,966.0,1091.0,330.0,1210.0,658.0,96100.0,542.0,45403.0,1919.0,698.0,35.0,85.0,33.0,39.0,71.0,48.0,61.0,102.0,142.0,135.0,110.0,69.0,126.0,66.0,125.0,38.0,62.0,87.0,195.0,193.0,359.0,235.0,138.0,8.0,28.0,08,005,005610,08005005610
92,4969.0,4664.0,1843.0,106.0,197.0,826.0,880.0,257.0,820.0,338.0,96500.0,439.0,45938.0,1588.0,242.0,40.0,37.0,46.0,28.0,34.0,70.0,95.0,46.0,70.0,42.0,67.0,51.0,54.0,95.0,96.0,37.0,36.0,62.0,153.0,99.0,278.0,192.0,55.0,29.0,31.0,08,005,005611,08005005611
93,3681.0,3511.0,1416.0,6.0,133.0,495.0,564.0,229.0,592.0,366.0,238000.0,477.0,39130.0,842.0,568.0,20.0,68.0,72.0,53.0,66.0,56.0,60.0,40.0,53.0,66.0,64.0,29.0,46.0,23.0,29.0,0.0,48.0,16.0,51.0,66.0,66.0,94.0,101.0,25.0,204.0,08,005,005612,08005005612
94,5032.0,4659.0,1678.0,68.0,109.0,477.0,687.0,161.0,1211.0,511.0,106900.0,881.0,54900.0,1530.0,151.0,19.0,10.0,27.0,14.0,28.0,6.0,62.0,19.0,49.0,17.0,48.0,63.0,47.0,41.0,58.0,67.0,82.0,73.0,111.0,116.0,263.0,261.0,76.0,0.0,121.0,08,005,005613,08005005613
95,3384.0,3214.0,1260.0,12.0,155.0,452.0,652.0,113.0,659.0,291.0,92300.0,881.0,47105.0,1108.0,121.0,6.0,22.0,26.0,12.0,35.0,23.0,37.0,6.0,37.0,52.0,33.0,86.0,22.0,61.0,72.0,52.0,57.0,57.0,117.0,83.0,128.0,151.0,49.0,20.0,16.0,08,005,005614,08005005614
96,10453.0,9993.0,3753.0,27.0,117.0,856.0,1510.0,564.0,2393.0,1248.0,127200.0,683.0,54809.0,3179.0,582.0,46.0,52.0,22.0,57.0,47.0,90.0,77.0,113.0,86.0,112.0,139.0,90.0,150.0,57.0,108.0,98.0,152.0,112.0,278.0,186.0,558.0,560.0,376.0,80.0,107.0,08,005,005615,08005005615
97,7145.0,6719.0,2386.0,24.0,168.0,703.0,1125.0,309.0,1384.0,690.0,101000.0,683.0,54859.0,1923.0,396.0,31.0,21.0,26.0,40.0,40.0,63.0,46.0,22.0,48.0,82.0,128.0,64.0,60.0,69.0,118.0,45.0,79.0,97.0,117.0,104.0,340.0,344.0,211.0,116.0,75.0,08,005,005616,08005005616
98,4290.0,4162.0,1695.0,48.0,98.0,495.0,634.0,183.0,1026.0,465.0,112600.0,865.0,52176.0,1518.0,129.0,8.0,45.0,12.0,25.0,37.0,24.0,52.0,34.0,11.0,64.0,60.0,58.0,76.0,50.0,74.0,32.0,58.0,64.0,136.0,74.0,234.0,310.0,98.0,15.0,44.0,08,005,005618,08005005618
99,4800.0,4532.0,1686.0,36.0,186.0,685.0,816.0,227.0,936.0,333.0,96600.0,624.0,48197.0,1440.0,243.0,4.0,37.0,65.0,11.0,47.0,84.0,40.0,38.0,80.0,56.0,66.0,86.0,33.0,64.0,56.0,32.0,27.0,61.0,136.0,122.0,160.0,166.0,97.0,63.0,55.0,08,005,005619,08005005619
100,1174.0,1035.0,725.0,0.0,11.0,153.0,212.0,93.0,164.0,73.0,87500.0,448.0,24602.0,71.0,644.0,43.0,50.0,10.0,65.0,35.0,26.0,78.0,66.0,50.0,52.0,54.0,39.0,41.0,13.0,7.0,8.0,17.0,0.0,21.0,13.0,0.0,26.0,11.0,0.0,0.0,08,005,005620,08005005620
101,4935.0,4745.0,1775.0,12.0,88.0,394.0,845.0,287.0,1155.0,579.0,120900.0,698.0,54754.0,1563.0,199.0,42.0,21.0,5.0,17.0,24.0,30.0,44.0,29.0,31.0,51.0,52.0,41.0,71.0,58.0,75.0,25.0,72.0,33.0,174.0,91.0,351.0,250.0,108.0,29.0,51.0,08,005,005689,08005005689
102,2580.0,2152.0,1181.0,151.0,367.0,678.0,282.0,124.0,121.0,38.0,60800.0,392.0,16626.0,566.0,565.0,110.0,190.0,100.0,130.0,93.0,76.0,27.0,40.0,61.0,36.0,28.0,40.0,48.0,22.0,20.0,13.0,15.0,30.0,31.0,23.0,33.0,9.0,0.0,0.0,6.0,08,005,005700,08005005700
103,2760.0,2464.0,1130.0,102.0,140.0,559.0,456.0,98.0,353.0,199.0,78300.0,495.0,30625.0,837.0,337.0,18.0,49.0,31.0,51.0,73.0,67.0,66.0,68.0,92.0,42.0,32.0,18.0,40.0,31.0,56.0,71.0,41.0,31.0,76.0,13.0,90.0,49.0,15.0,4.0,6.0,08,005,005800,08005005800
104,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,87500.0,0.0,16250.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,005,005889,08005005889
105,7224.0,6487.0,3829.0,321.0,534.0,1374.0,1118.0,324.0,1233.0,426.0,79500.0,428.0,24833.0,1158.0,2672.0,263.0,409.0,211.0,190.0,238.0,227.0,174.0,217.0,234.0,246.0,234.0,99.0,133.0,83.0,134.0,74.0,92.0,69.0,128.0,67.0,154.0,76.0,21.0,31.0,25.0,08,005,005950,08005005950
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,005,005988,08005005988
