,FIPS,pop_00,white_00,hu_00,ohu_00,rhu_00,state,county,tract,trtid_base,total_25_00,male_25_col_bd_00,male_25_col_md_00,male_25_col_psd_00,male_25_col_phd_00,female_25_col_bd_00,female_25_col_md_00,female_25_col_psd_00,female_25_col_phd_00,mhval_00,mrent_00,hh_00,hinc_00,I_10000_00,I_15000_00,I_20000_00,I_25000_00,I_30000_00,I_35000_00,I_40000_00,I_45000_00,I_50000_00,I_60000_00,I_75000_00,I_100000_00,I_125000_00,I_150000_00,I_200000_00,I_201000_00,trtid00
25,53033002500,2541.0,2122.0,1156.0,833.0,323.0,53,033,002500,53033002500,1942.0,292.0,122.0,82.0,51.0,400.0,175.0,61.0,59.0,262000.0,1006.0,1156.0,57778.0,53.0,32.0,64.0,51.0,17.0,32.0,85.0,60.0,52.0,156.0,160.0,178.0,93.0,41.0,39.0,43.0,53033002500
26,53033002600,4522.0,3861.0,1923.0,1292.0,631.0,53,033,002600,53033002600,3237.0,557.0,237.0,76.0,78.0,624.0,356.0,63.0,54.0,275400.0,846.0,1927.0,66066.0,75.0,81.0,62.0,44.0,93.0,71.0,95.0,80.0,81.0,171.0,189.0,408.0,171.0,126.0,124.0,56.0,53033002600
27,53033002700,4943.0,4268.0,2198.0,1461.0,737.0,53,033,002700,53033002700,3833.0,734.0,372.0,69.0,63.0,736.0,391.0,49.0,25.0,299100.0,875.0,2205.0,63952.0,58.0,79.0,64.0,63.0,139.0,85.0,105.0,89.0,119.0,188.0,348.0,387.0,207.0,137.0,88.0,49.0,53033002700
28,53033002800,4232.0,3672.0,2064.0,1187.0,877.0,53,033,002800,53033002800,3304.0,714.0,190.0,80.0,60.0,716.0,239.0,51.0,56.0,245200.0,794.0,2070.0,58446.0,51.0,63.0,62.0,53.0,111.0,153.0,114.0,125.0,108.0,241.0,283.0,241.0,175.0,137.0,66.0,87.0,53033002800
29,53033002900,3984.0,3422.0,1835.0,1244.0,591.0,53,033,002900,53033002900,3134.0,539.0,154.0,123.0,51.0,674.0,266.0,67.0,6.0,256400.0,757.0,1836.0,62150.0,62.0,56.0,112.0,69.0,59.0,93.0,116.0,97.0,47.0,164.0,223.0,357.0,161.0,154.0,48.0,18.0,53033002900
30,53033003000,5250.0,4561.0,2378.0,1730.0,648.0,53,033,003000,53033003000,3992.0,657.0,144.0,89.0,58.0,706.0,224.0,102.0,27.0,245800.0,763.0,2375.0,57116.0,89.0,66.0,85.0,115.0,71.0,149.0,146.0,171.0,66.0,283.0,282.0,420.0,232.0,84.0,100.0,16.0,53033003000
31,53033003100,6038.0,5421.0,2596.0,2022.0,574.0,53,033,003100,53033003100,4597.0,652.0,229.0,60.0,78.0,918.0,220.0,51.0,37.0,266700.0,924.0,2600.0,56580.0,81.0,71.0,115.0,89.0,110.0,177.0,115.0,140.0,163.0,330.0,336.0,407.0,261.0,113.0,64.0,28.0,53033003100
32,53033003200,7213.0,6376.0,3776.0,1764.0,2012.0,53,033,003200,53033003200,5747.0,928.0,249.0,97.0,34.0,911.0,281.0,81.0,19.0,259900.0,711.0,3776.0,46366.0,283.0,230.0,224.0,229.0,264.0,219.0,150.0,224.0,179.0,384.0,457.0,485.0,200.0,107.0,83.0,58.0,53033003200
33,53033003300,5832.0,4887.0,2915.0,1148.0,1767.0,53,033,003300,53033003300,4466.0,741.0,187.0,22.0,49.0,811.0,233.0,29.0,11.0,232000.0,771.0,2914.0,43934.0,135.0,109.0,119.0,290.0,266.0,223.0,199.0,145.0,170.0,204.0,369.0,376.0,155.0,72.0,39.0,43.0,53033003300
34,53033003400,3198.0,2789.0,1476.0,870.0,606.0,53,033,003400,53033003400,2463.0,423.0,135.0,62.0,26.0,382.0,255.0,82.0,20.0,280500.0,764.0,1475.0,55885.0,53.0,20.0,42.0,96.0,71.0,66.0,83.0,85.0,67.0,187.0,173.0,226.0,159.0,63.0,48.0,36.0,53033003400
