,pop_00,white_00,hu_00,ohu_00,rhu_00,state,county,tract,FIPS,total_25_00,male_25_col_bd_00,male_25_col_md_00,male_25_col_psd_00,male_25_col_phd_00,female_25_col_bd_00,female_25_col_md_00,female_25_col_psd_00,female_25_col_phd_00,mhval_00,mrent_00,hh_00,hinc_00,I_10000_00,I_15000_00,I_20000_00,I_25000_00,I_30000_00,I_35000_00,I_40000_00,I_45000_00,I_50000_00,I_60000_00,I_75000_00,I_100000_00,I_125000_00,I_150000_00,I_200000_00,I_201000_00
540,5683,4993,2022,1909,113,08,059,011726,08059011726,3788,726,332,143,73,650,329,65,8,241100,937,2018,95441,16,15,19,28,55,31,68,44,62,147,214,381,280,133,237,288
541,3859,3453,1466,1351,115,08,059,011727,08059011727,2818,253,185,73,23,319,69,18,7,194800,975,1449,68680,15,44,38,37,78,75,41,60,95,112,267,252,122,106,67,40
542,2661,2296,1094,958,136,08,059,011728,08059011728,1912,276,110,40,25,310,124,6,8,205900,795,1104,63676,23,22,48,26,75,69,53,57,51,90,121,230,143,40,31,25
543,3787,3200,2018,899,1119,08,059,011729,08059011729,2828,266,74,39,8,424,93,64,26,130500,905,2024,46944,43,58,107,39,134,198,209,154,171,247,325,205,61,36,14,23
544,3845,3070,1688,990,698,08,059,011730,08059011730,2311,229,111,0,9,221,41,0,0,121400,690,1687,40638,85,98,50,110,121,214,140,175,117,213,90,183,75,16,0,0
545,3914,3366,1893,742,1151,08,059,011731,08059011731,2691,553,128,75,14,504,148,0,0,181400,938,1892,48704,53,21,44,73,137,153,152,173,168,233,286,166,129,54,35,15
546,7725,5439,3585,1473,2112,08,059,011801,08059011801,4968,429,185,22,0,428,119,11,0,136900,800,3538,40521,276,231,252,204,281,263,218,402,134,358,360,376,111,36,28,8
547,5060,3489,1938,1423,515,08,059,011803,08059011803,3313,130,57,24,15,228,45,65,12,145700,622,1947,46315,30,39,94,151,140,170,107,212,138,182,231,291,87,30,27,18
548,3657,2697,1371,1165,206,08,059,011804,08059011804,2563,200,74,29,6,248,45,16,5,160800,718,1374,52700,75,56,59,54,94,81,65,64,95,215,230,146,91,24,11,14
549,2080,1679,937,705,232,08,059,011904,08059011904,1445,184,20,22,5,146,57,29,7,107300,773,996,39549,59,37,57,52,95,117,92,53,59,139,82,59,47,9,15,24
550,3026,2229,1309,1063,246,08,059,011951,08059011951,2089,261,137,33,46,274,153,15,15,224200,813,1314,61625,24,25,38,46,56,84,85,94,79,113,125,221,149,72,51,52
551,2953,1783,847,187,660,08,059,012003,08059012003,1959,156,115,18,15,130,37,12,0,369900,910,850,51603,31,35,28,64,67,52,47,43,33,112,121,82,23,16,37,59
552,5142,4720,1793,1666,127,08,059,012022,08059012022,3209,690,178,25,7,648,184,5,0,220400,1083,1804,78896,27,27,30,25,107,54,40,85,75,90,293,362,299,159,84,47
553,3165,2755,1056,979,77,08,059,012023,08059012023,1986,248,88,18,5,273,93,19,5,189800,1055,1055,68441,5,16,0,40,54,50,23,44,69,110,257,201,74,51,47,14
554,4655,4323,1568,1472,96,08,059,012024,08059012024,2954,476,208,43,47,413,179,12,23,219900,1283,1560,82154,28,13,34,29,45,34,48,61,11,171,164,310,283,124,102,103
555,3459,3301,1405,1098,307,08,059,012026,08059012026,2439,455,172,36,24,330,196,19,12,261900,853,1418,68000,34,31,45,61,61,57,99,46,48,157,126,234,145,122,87,65
556,2846,2692,1095,925,170,08,059,012027,08059012027,2103,233,141,17,73,191,220,29,36,244400,740,1093,66955,29,22,34,23,48,38,48,84,60,68,171,183,81,67,76,61
557,3854,3653,1465,1187,278,08,059,012030,08059012030,2636,532,146,65,38,460,208,6,12,243500,1065,1459,75092,24,44,30,46,59,71,70,53,71,77,183,164,275,144,83,65
558,3847,3630,1399,1275,124,08,059,012031,08059012031,2617,389,164,58,32,386,110,51,38,253300,878,1392,81596,18,17,45,21,56,25,44,23,56,141,188,270,218,105,92,73
559,2477,2363,911,832,79,08,059,012032,08059012032,1718,302,97,22,62,301,82,26,0,280800,661,947,80044,24,16,39,19,36,16,6,48,13,101,150,163,81,83,75,77
560,2865,2691,1095,1002,93,08,059,012033,08059012033,2005,362,104,20,42,335,176,29,6,258000,698,1063,81721,11,0,5,0,14,6,21,33,50,83,184,254,171,67,88,76
561,3350,3190,1147,1128,19,08,059,012034,08059012034,2300,375,188,152,57,387,244,66,35,488400,0,1146,120733,25,21,0,14,6,3,40,13,28,41,109,158,134,103,124,327
562,5851,5497,1798,1761,37,08,059,012035,08059012035,3439,729,471,94,77,837,288,39,14,359100,1266,1798,127802,26,17,10,43,14,6,15,14,37,41,96,240,304,258,334,343
563,1304,1228,482,452,30,08,059,012036,08059012036,897,227,49,9,0,142,33,7,0,243700,0,474,84043,8,7,0,0,22,11,30,8,0,34,74,123,32,43,30,52
564,3437,3216,1309,1205,104,08,059,012037,08059012037,2411,421,97,27,58,388,130,9,30,229000,939,1264,76143,12,7,27,22,41,25,38,54,40,135,205,247,200,71,82,58
565,3246,2895,1134,1035,99,08,059,012038,08059012038,2146,218,82,24,0,182,32,6,8,158000,881,1200,65885,11,16,22,15,49,37,26,58,61,196,279,285,55,30,47,13
566,4934,4278,1653,1402,251,08,059,012039,08059012039,3091,363,126,26,0,395,80,12,9,165400,892,1658,70076,45,47,54,22,26,17,54,81,115,166,308,395,226,62,0,40
567,836,730,290,266,24,08,059,012040,08059012040,588,83,6,0,7,62,12,0,0,161100,881,299,69886,0,0,0,7,6,14,10,11,19,48,54,53,71,0,6,0
