,pop_90,white_90,hh_90,total_25_col_9th_90,total_25_col_12th_90,total_25_col_hs_90,total_25_col_sc_90,total_25_col_ad_90,total_25_col_bd_90,total_25_col_gd_90,mhval_90,mrent_90,hinc_90,ohu_90,rhu_90,I_5000_90,I_10000_90,I_12500_90,I_15000_90,I_17500_90,I_20000_90,I_22500_90,I_25000_90,I_27500_90,I_30000_90,I_32500_90,I_35000_90,I_37500_90,I_40000_90,I_42500_90,I_45000_90,I_47500_90,I_50000_90,I_55000_90,I_60000_90,I_75000_90,I_100000_90,I_125000_90,I_150000_90,I_150001_90,state,county,tract,FIPS
421,6832.0,6186.0,3246.0,60.0,96.0,776.0,1447.0,352.0,1792.0,836.0,196900.0,792.0,43988.0,1801.0,1452.0,67.0,145.0,69.0,60.0,96.0,144.0,158.0,105.0,89.0,68.0,153.0,52.0,156.0,98.0,113.0,84.0,103.0,118.0,214.0,122.0,352.0,312.0,143.0,88.0,137.0,53,033,024000,53033024000
422,4455.0,4201.0,1627.0,6.0,74.0,347.0,690.0,102.0,1346.0,607.0,426000.0,866.0,81360.0,1510.0,114.0,19.0,26.0,21.0,10.0,43.0,19.0,2.0,31.0,19.0,34.0,22.0,21.0,50.0,41.0,21.0,25.0,21.0,20.0,36.0,81.0,181.0,225.0,129.0,132.0,398.0,53,033,024100,53033024100
423,2981.0,2795.0,1143.0,7.0,71.0,103.0,543.0,120.0,764.0,528.0,394600.0,1001.0,81896.0,1024.0,105.0,24.0,5.0,19.0,12.0,7.0,34.0,19.0,6.0,26.0,11.0,4.0,7.0,32.0,20.0,32.0,11.0,20.0,7.0,89.0,13.0,125.0,145.0,124.0,87.0,264.0,53,033,024200,53033024200
424,5770.0,5073.0,2557.0,59.0,183.0,690.0,1113.0,194.0,1399.0,717.0,268600.0,605.0,46932.0,1738.0,766.0,48.0,83.0,52.0,67.0,55.0,75.0,99.0,94.0,82.0,58.0,80.0,108.0,72.0,82.0,77.0,70.0,99.0,51.0,162.0,127.0,286.0,292.0,149.0,45.0,144.0,53,033,024300,53033024300
425,2335.0,2054.0,1079.0,26.0,61.0,212.0,367.0,70.0,649.0,275.0,260100.0,570.0,35250.0,435.0,680.0,20.0,39.0,36.0,21.0,48.0,41.0,78.0,52.0,38.0,46.0,59.0,57.0,45.0,46.0,58.0,5.0,26.0,35.0,43.0,31.0,104.0,40.0,36.0,16.0,59.0,53,033,024400,53033024400
426,4568.0,4141.0,1697.0,12.0,61.0,297.0,608.0,178.0,1196.0,858.0,310900.0,1001.0,71113.0,1542.0,133.0,19.0,10.0,12.0,20.0,10.0,9.0,49.0,20.0,22.0,37.0,34.0,21.0,44.0,25.0,72.0,39.0,41.0,41.0,106.0,78.0,179.0,294.0,187.0,103.0,225.0,53,033,024500,53033024500
427,8143.0,7393.0,2727.0,15.0,57.0,423.0,931.0,240.0,2057.0,1663.0,389200.0,1001.0,83723.0,2583.0,130.0,15.0,17.0,7.0,10.0,0.0,11.0,27.0,17.0,33.0,62.0,37.0,16.0,44.0,26.0,53.0,50.0,77.0,72.0,93.0,69.0,359.0,612.0,355.0,191.0,474.0,53,033,024600,53033024600
428,3231.0,2957.0,1369.0,0.0,82.0,384.0,594.0,208.0,721.0,262.0,157300.0,606.0,43451.0,996.0,297.0,6.0,29.0,35.0,46.0,45.0,11.0,71.0,43.0,51.0,41.0,40.0,60.0,56.0,78.0,55.0,46.0,28.0,34.0,80.0,77.0,175.0,201.0,40.0,7.0,14.0,53,033,024701,53033024701
429,5098.0,4413.0,1863.0,52.0,144.0,665.0,896.0,295.0,1142.0,360.0,165500.0,691.0,54629.0,1516.0,339.0,42.0,14.0,22.0,13.0,18.0,12.0,32.0,47.0,46.0,42.0,72.0,14.0,68.0,67.0,76.0,91.0,72.0,65.0,127.0,178.0,332.0,273.0,67.0,37.0,36.0,53,033,024798,53033024798
430,5019.0,4552.0,2069.0,69.0,220.0,711.0,1071.0,422.0,726.0,209.0,131000.0,745.0,36680.0,1155.0,1012.0,51.0,95.0,67.0,28.0,124.0,74.0,110.0,23.0,114.0,81.0,108.0,97.0,93.0,87.0,95.0,98.0,58.0,94.0,101.0,43.0,205.0,176.0,30.0,17.0,0.0,53,033,024800,53033024800
431,5233.0,4171.0,1744.0,7.0,69.0,324.0,749.0,252.0,1239.0,838.0,248100.0,1001.0,73963.0,1629.0,131.0,29.0,21.0,15.0,33.0,12.0,8.0,5.0,5.0,22.0,12.0,25.0,31.0,31.0,15.0,24.0,33.0,43.0,30.0,86.0,71.0,339.0,401.0,218.0,101.0,134.0,53,033,024901,53033024901
