,total_hh,lim_english_spanish_hh,lim_english_indoeuro_hh,lim_english_api_hh,lim_english_other_hh,isolated_hh,prop_isolated_hh,prop_isolated_hh_spanish
132,1211,0,0,34,0,34.0,0.02807597,0.0
133,1464,9,0,0,0,9.0,0.006147541,0.006147541
134,2548,72,22,31,0,125.0,0.049058083,0.028257458
135,1412,0,8,0,13,21.0,0.014872521,0.0
136,1935,43,0,0,0,43.0,0.022222223,0.022222223
137,1510,0,0,0,0,0.0,0.0,0.0
138,646,0,0,0,0,0.0,0.0,0.0
139,2068,0,0,6,0,6.0,0.0029013539,0.0
140,1858,0,10,0,0,10.0,0.0053821313,0.0
141,1955,0,0,9,21,30.0,0.015345269,0.0
142,2193,19,0,0,0,19.0,0.008663931,0.008663931
143,1422,0,0,20,0,20.0,0.014064698,0.0
144,561,0,0,0,0,0.0,0.0,0.0
145,830,5,0,34,0,39.0,0.04698795,0.006024096
146,1887,0,0,0,0,0.0,0.0,0.0
147,1817,11,27,32,0,70.0,0.03852504,0.0060539353
148,1259,7,9,73,0,89.0,0.07069103,0.0055599683
149,1924,0,20,75,0,95.0,0.049376298,0.0
150,3289,13,0,40,0,53.0,0.01611432,0.0039525693
151,898,0,0,0,0,0.0,0.0,0.0
152,2667,0,22,153,0,175.0,0.0656168,0.0
153,1853,21,0,0,0,21.0,0.011332974,0.011332974
154,573,0,0,0,0,0.0,0.0,0.0
155,1476,6,0,0,0,6.0,0.0040650405,0.0040650405
156,1753,33,0,23,0,56.0,0.031945236,0.018824872
157,1783,12,8,20,0,40.0,0.0224341,0.00673023
158,2558,9,0,7,0,16.0,0.0062548867,0.0035183737
159,1253,110,0,43,15,168.0,0.13407822,0.087789305
160,1380,188,33,29,24,274.0,0.19855073,0.13623188
161,906,58,0,12,21,91.0,0.1004415,0.06401766
162,1685,423,22,59,51,555.0,0.32937685,0.25103858
163,1583,185,9,10,27,231.0,0.14592546,0.11686671
164,772,116,0,5,5,126.0,0.16321243,0.15025906
165,1191,96,0,45,20,161.0,0.13518052,0.08060453
166,1493,96,5,8,0,109.0,0.07300737,0.06430007
167,1623,80,0,0,55,135.0,0.083179295,0.049291436
168,1894,124,0,0,89,213.0,0.112460405,0.065469906
169,1079,0,0,0,0,0.0,0.0,0.0
170,1229,91,10,40,10,151.0,0.12286412,0.07404394
171,1805,79,74,43,0,196.0,0.10858726,0.043767314
172,2040,10,9,48,25,92.0,0.04509804,0.004901961
173,2208,0,7,76,0,83.0,0.03759058,0.0
174,2057,19,59,24,31,133.0,0.06465727,0.009236753
175,1703,7,40,29,39,115.0,0.06752789,0.0041103936
176,1871,79,46,37,0,162.0,0.08658472,0.04222341
177,1889,155,29,128,30,342.0,0.18104817,0.082054
178,1110,193,43,9,28,273.0,0.24594595,0.17387387
179,1343,38,0,0,6,44.0,0.03276247,0.028294863
180,2361,132,40,33,109,314.0,0.13299449,0.055908512
181,2567,84,14,50,143,291.0,0.1133619,0.032723024
182,1879,87,7,53,37,184.0,0.097924426,0.046301223
183,1032,135,16,29,0,180.0,0.1744186,0.13081396
184,1568,0,12,11,15,38.0,0.024234693,0.0
185,2145,0,0,0,0,0.0,0.0,0.0
186,1845,51,8,13,0,72.0,0.03902439,0.027642276
187,989,0,0,11,0,11.0,0.011122346,0.0
188,1549,325,6,16,7,354.0,0.22853453,0.20981278
189,2331,276,17,35,22,350.0,0.15015015,0.11840412
190,1752,77,8,68,0,153.0,0.08732877,0.04394977
191,2310,94,0,0,10,104.0,0.045021646,0.040692642
192,2151,27,15,24,0,66.0,0.030683404,0.012552301
193,1395,75,0,7,0,82.0,0.058781363,0.05376344
194,1489,6,0,0,9,15.0,0.010073875,0.00402955
195,743,0,5,0,6,11.0,0.014804846,0.0
196,2198,52,0,77,34,163.0,0.074158326,0.023657871
197,1175,27,17,27,7,78.0,0.06638298,0.022978723
198,1815,45,10,7,14,76.0,0.04187328,0.024793388
199,1625,52,0,17,5,74.0,0.045538463,0.032
200,1179,13,0,68,12,93.0,0.07888041,0.011026293
201,2497,29,0,93,60,182.0,0.072887465,0.011613937
202,2753,0,0,44,0,44.0,0.015982565,0.0
203,1813,0,0,9,0,9.0,0.0049641477,0.0
204,2233,0,12,48,0,60.0,0.026869683,0.0
205,2172,27,8,56,13,104.0,0.047882136,0.012430939
206,1655,0,9,6,5,20.0,0.012084592,0.0
207,1577,0,22,17,0,39.0,0.024730502,0.0
208,1114,0,6,0,19,25.0,0.022441652,0.0
209,1475,28,23,10,9,70.0,0.047457628,0.018983051
210,763,0,26,0,0,26.0,0.034076016,0.0
211,1551,0,38,26,0,64.0,0.0412637,0.0
212,1287,19,0,0,0,19.0,0.014763014,0.014763014
213,1185,20,5,31,10,66.0,0.055696204,0.016877636
214,1039,0,11,0,0,11.0,0.010587103,0.0
215,1197,43,0,19,0,62.0,0.051796157,0.035923142
216,1974,31,8,26,0,65.0,0.032928064,0.015704153
217,1658,0,27,0,6,33.0,0.019903498,0.0
218,1181,13,5,0,0,18.0,0.015241321,0.011007621
219,1066,0,19,0,0,19.0,0.01782364,0.0
220,593,10,9,16,2,37.0,0.062394604,0.016863406
221,1998,0,0,19,0,19.0,0.009509509,0.0
222,934,0,0,18,0,18.0,0.01927195,0.0
223,953,7,0,0,0,7.0,0.0073452257,0.0073452257
224,1400,0,17,8,0,25.0,0.017857144,0.0
225,1788,0,8,19,0,27.0,0.015100671,0.0
226,993,0,0,0,0,0.0,0.0,0.0
227,1704,17,24,11,0,52.0,0.030516433,0.009976526
228,614,0,0,11,0,11.0,0.01791531,0.0
229,1502,0,0,43,0,43.0,0.028628495,0.0
230,2458,0,16,0,0,16.0,0.006509357,0.0
231,1553,0,0,15,0,15.0,0.009658725,0.0
232,1984,0,27,40,0,67.0,0.033770163,0.0
233,1875,0,10,34,0,44.0,0.023466667,0.0
234,736,0,0,10,0,10.0,0.013586956,0.0
235,1878,0,0,0,0,0.0,0.0,0.0
236,2447,0,0,9,20,29.0,0.0118512465,0.0
237,1361,22,9,9,0,40.0,0.029390154,0.016164584
238,3188,0,102,21,200,323.0,0.10131744,0.0
239,1364,23,43,36,57,159.0,0.116568916,0.01686217
240,2104,211,30,45,0,286.0,0.13593157,0.10028517
241,1318,45,29,23,49,146.0,0.1107739,0.03414264
242,2169,0,50,20,130,200.0,0.09220839,0.0
243,3181,67,0,138,20,225.0,0.070732474,0.021062559
244,1975,39,0,24,0,63.0,0.031898733,0.019746836
245,2989,21,19,0,0,40.0,0.013382402,0.007025761
246,1655,7,0,6,0,13.0,0.007854985,0.004229607
247,1051,7,0,0,0,7.0,0.0066603236,0.0066603236
248,2391,50,50,0,0,100.0,0.041823506,0.020911753
249,1710,0,8,0,0,8.0,0.0046783625,0.0
250,3047,21,8,0,0,29.0,0.009517558,0.006892025
251,3920,69,26,53,0,148.0,0.037755102,0.017602041
252,1886,0,0,7,0,7.0,0.0037115589,0.0
253,707,0,30,71,7,108.0,0.15275814,0.0
254,1964,6,0,7,0,13.0,0.0066191447,0.0030549897
255,1205,32,0,0,0,32.0,0.026556017,0.026556017
256,1605,11,0,0,0,11.0,0.0068535823,0.0068535823
257,1732,0,0,40,0,40.0,0.023094688,0.0
258,1334,0,12,0,0,12.0,0.008995502,0.0
259,1308,27,7,9,0,43.0,0.032874618,0.020642202
260,1919,0,0,0,0,0.0,0.0,0.0
261,1847,0,12,30,13,55.0,0.029778019,0.0
262,1489,38,0,9,13,60.0,0.0402955,0.025520483
263,724,9,8,64,0,81.0,0.111878455,0.012430939
